Car Name,Liters,Age,Distance,Price
Opel Astra,1.7,17,522222.0,8500.0
Chevrolet Silverado,2.7,4,111000.0,64430.0
Hyundai Sonata,2.0,3,40000.0,46500.0
Lexus IS 250,2.5,19,160000.0,21800.0
Toyota Land Cruiser,4.5,20,422000.0,17500.0
Suzuki Swift,1.2,1,0.0,33200.0
Hyundai Santa Fe,2.0,9,151278.0,29900.0
Hyundai ix35,2.0,12,120897.0,29500.0
Kia Sorento,2.0,8,170000.0,36700.0
Jeep Wrangler,2.0,6,50000.0,77350.0
Lexus IS 250,2.5,16,112000.0,21500.0
Mercedes S 63 AMG 4MATIC,5.5,10,141000.0,73950.0
Hyundai Sonata,2.0,17,165000.0,18500.0
Toyota RAV4,2.0,11,214000.0,31000.0
Mercedes S 300,3.0,11,240000.0,62900.0
Volvo FH 460,13.0,15,1285000.0,63000.0
Skoda Kamiq,1.6,4,58000.0,27900.0
Volkswagen Touareg,3.6,12,132000.0,32000.0
DAF 105 XF,12.0,14,1100000.0,38000.0
DAF 105 XF,12.0,18,1370000.0,38500.0
JETOUR T2,2.0,0,0.0,57500.0
DAF 105 XF,12.0,12,990000.0,67000.0
BMW 530e,2.0,7,52300.0,51000.0
LADA (VAZ) Priora,1.6,12,286000.0,9900.0
Toyota Prius,1.5,17,328504.0,12900.0
Ford Edge,2.0,9,103000.0,27900.0
Mercedes E 200,2.0,12,150000.0,37500.0
Land Rover Range Rover,3.0,8,220000.0,68000.0
Toyota Land Cruiser,4.6,12,178000.0,59000.0
Mercedes E 220 d,2.2,10,188000.0,35000.0
Kia Sorento,2.0,9,86200.0,26800.0
Kia Sorento,2.0,10,204000.0,35500.0
Opel Astra,1.3,20,311226.0,10300.0
Kia K3,1.6,8,119000.0,23500.0
Land Rover Range Rover,3.0,5,86000.0,101150.0
Mini Cooper,1.6,13,71795.0,25330.0
Mercedes E 220 d,2.2,10,208000.0,33000.0
Mercedes GL 500 4MATIC,4.7,11,234964.0,43350.0
