Car Name,Attributes,Price,Currency
Porsche Panamera 4S,"2014, 3.0 L, 101 000 km",35 500,$
Mitsubishi L200,"2015, 2.5 L, 390 000 km",25 500,AZN
Land Rover Range Rover,"2018, 3.0 L, 152 888 km",55 000,$
BMW 530,"2021, 2.0 L, 70 000 km",36 900,$
Mercedes G 63 AMG,"2018, 4.0 L, 92 800 km",169 000,$
Hyundai Sonata,"2008, 2.0 L, 211 000 km",17 600,AZN
Kia Rio,"2008, 1.5 L, 247 543 km",11 700,AZN
Mercedes E 220 d,"2011, 2.2 L, 294 000 km",21 900,AZN
Hyundai Grand Santa Fe,"2014, 2.2 L, 266 600 km",27 500,AZN
Land Rover Range Rover,"2024, 3.0 L, 4 800 km",215 000,$
Hyundai IONIQ,"2017, 1.6 L, 131 200 km",21 800,AZN
Toyota Land Cruiser,"2020, 4.6 L, 44 000 km",82 000,$
Mercedes E 220 d,"2015, 2.2 L, 208 000 km",33 000,AZN
Toyota Land Cruiser,"2004, 4.5 L, 325 000 km",12 000,AZN
Hyundai Santa Fe,"2009, 2.0 L, 195 000 km",21 500,AZN
Land Rover Range Rover,"2017, 3.0 L, 220 000 km",40 000,$
Daewoo Nexia,"2008, 1.5 L, 320 000 km",4 600,AZN
Hyundai Elantra,"2016, 2.0 L, 103 000 km",23 900,AZN
BMW 528,"2012, 2.0 L, 153 000 km",27 500,AZN
Land Rover Range Rover,"2013, 5.0 L, 178 000 km",33 900,$
Changan Uni-Z,"2025, 1.5 L, 0 km",35 400,AZN
Ford Transit,"1997, 2.5 L, 180 000 km",17 000,AZN
Kia Sorento,"2014, 2.0 L, 170 000 km",28 500,AZN
Hyundai Santa Fe,"2013, 2.4 L, 124 000 km",27 000,AZN
Kia Sorento,"2020, 1.6 L, 51 500 km",31 400,$
BMW 528,"2012, 2.0 L, 153 000 km",27 500,AZN
Hyundai Elantra,"2016, 2.0 L, 97 000 km",18 500,AZN
Land Rover Range Rover,"2018, 3.0 L, 152 888 km",55 000,$
Fiat Doblo,"2022, 1.4 L, 37 379 km",30 000,AZN
Volkswagen Touareg,"2003, 3.2 L, 185 554 km",11 000,AZN
Maserati Ghibli,"2015, 3.0 L, 95 000 km",24 999,$
