Car Name,Attributes,Price,Currency
Mercedes C 300,"2017, 2.0 L, 102 000 km",21 500,$
Chevrolet Orlando,"2014, 1.8 L, 150 200 km",16 800,AZN
Chevrolet Equinox,"2017, 1.5 L, 124 000 km",23 955,AZN
Kia Sorento,"2020, 1.6 L, 51 500 km",31 400,$
BMW 528,"2016, 2.0 L, 132 000 km",21 000,$
BMW 520,"2011, 2.0 L, 193 200 km",17 000,$
Ford Mustang,"2017, 2.3 L, 57 950 km",25 000,$
Ford Fusion (North America),"2017, 1.5 L, 150 000 km",18 300,AZN
BMW X7,"2020, 4.4 L, 98 000 km",90 000,$
Toyota Land Cruiser,"2018, 4.0 L, 70 200 km",57 000,$
Kia Sportage,"2015, 2.0 L, 113 340 km",28 200,AZN
BMW 428,"2017, 2.0 L, 156 000 km",21 500,$
Jeep Wrangler,"2023, 2.0 L, 10 578 km",46 500,$
Toyota Land Cruiser,"2018, 4.0 L, 70 200 km",57 000,$
Land Rover Range Rover,"2017, 3.0 L, 122 500 km",40 800,$
Toyota Avalon,"2018, 2.5 L, 112 000 km",43 800,AZN
BYD Seal 05,"2025, 1.5 L, 0 km",31 600,AZN
Kia Rio,"2019, 1.6 L, 92 666 km",21 500,AZN
Nissan Pathfinder,"2012, 3.5 L, 244 000 km",11 900,$
Mercedes C 180,"2017, 1.6 L, 75 000 km",40 000,AZN
LADA (VAZ) Priora,"2013, 1.6 L, 294 000 km",9 899,AZN
Mitsubishi ASX,"2012, 2.0 L, 220 000 km",16 500,AZN
BMW X5,"2023, 3.0 L, 15 000 km",75 800,$
Nissan Pathfinder,"2013, 3.5 L, 220 000 km",10 000,$
Toyota FJ Cruiser,"2010, 4.0 L, 262 323 km",45 000,AZN
Ford Escape,"2017, 1.5 L, 128 300 km",13 500,$
BMW M6,"2013, 4.4 L, 99 000 km",62 000,$
Hyundai Sonata,"2015, 2.4 L, 184 860 km",23 500,AZN
Audi RS5,"2021, 2.9 L, 73 000 km",60 000,$
Mercedes E 200 d,"2016, 2.0 L, 125 000 km",32 500,$
Jeep Wrangler,"2007, 3.8 L, 180 000 km",16 500,$
BMW 530,"2017, 2.0 L, 114 000 km",42 500,AZN
Mercedes S 500,"2007, 5.5 L, 260 000 km",26 500,AZN
Kia EV9,"2024,  16 000 km",50 900,$
Hyundai Tucson,"2016, 2.0 L, 138 404 km",26 800,AZN
GAZ 24,"1989, 2.4 L, 184 500 km",14 500,AZN
Jeep Wrangler,"2023, 2.0 L, 10 578 km",46 500,$
Hyundai Accent,"2021, 1.6 L, 77 000 km",23 000,AZN
Chevrolet Orlando,"2014, 1.8 L, 150 200 km",16 800,AZN
BMW 520,"2020, 2.0 L, 80 000 km",61 000,AZN
Hyundai Tucson,"2016, 2.0 L, 138 404 km",26 800,AZN
Kia K5,"2020, 2.0 L, 149 000 km",42 000,AZN
BMW 320e,"2022, 2.0 L, 18 000 km",46 500,$
Hyundai Tucson,"2014, 2.0 L, 82 436 km",26 200,AZN
Mercedes Vito 115,"2010, 2.2 L, 450 000 km",31 900,AZN
Changan Uni-Z,"2025, 1.5 L, 0 km",34 200,AZN
MAN TGX 18.480,"2012, 12 L, 1 125 000 km",92 000,AZN
Chevrolet Cruze,"2016, 1.4 L, 161 255 km",16 950,AZN
Opel Astra,"2008, 1.7 L, 522 222 km",8 500,AZN
Chevrolet Bolt,"2023,  29 000 km",25 400,AZN
Chevrolet Silverado,"2021, 2.7 L, 111 000 km",37 900,$
Hyundai Sonata,"2022, 2.0 L, 40 000 km",46 500,AZN
Lexus IS 250,"2006, 2.5 L, 160 000 km",21 800,AZN
Toyota Land Cruiser,"2005, 4.5 L, 422 000 km",17 500,AZN
Suzuki Swift,"2024, 1.2 L, 0 km",33 200,AZN
Toyota Land Cruiser,"2005, 4.5 L, 422 000 km",17 500,AZN
Hyundai Santa Fe,"2016, 2.0 L, 151 278 km",29 900,AZN
Hyundai ix35,"2013, 2.0 L, 120 897 km",29 500,AZN
Kia Sorento,"2017, 2.0 L, 170 000 km",36 700,AZN
Jeep Wrangler,"2019, 2.0 L, 50 000 km",45 500,$
Lexus IS 250,"2009, 2.5 L, 112 000 km",21 500,AZN
Mercedes S 63 AMG 4MATIC,"2015, 5.5 L, 141 000 km",43 500,$
Hyundai Sonata,"2008, 2.0 L, 165 000 km",18 500,AZN
Toyota RAV4,"2014, 2.0 L, 214 000 km",31 000,AZN
Mercedes S 300,"2014, 3.0 L, 240 000 km",37 000,$
Volvo FH 460,"2010, 13 L, 1 285 000 km",63 000,AZN
BMW 520,"2016, 2.0 L, 120 000 km",40 900,AZN
Land Rover Range Rover,"2016, 3.0 L, 198 500 km",69 000,AZN
